0,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
top blade runner top new release happy death day top lego ninjago top mountain us film avoid snowman,0.4215,0.218,0.389,0.393
believe paid money see happy death day,-0.0516,0.31,0.294,0.397
happy death day mcm seronok,-0.0516,0.368,0.349,0.283
want watch bad genius happy death day wallet kindah broke rn,-0.7351,0.481,0.236,0.283
blade runner lego ninjago movie goodbye christopher robin ritual golden circle happy death day,-0.0516,0.199,0.189,0.612
ethen taking see happy death day rn trippy,-0.0516,0.287,0.272,0.441
bestfriend decided settle guy less carter happy death day,-0.0553,0.259,0.243,0.498
go ya death,-0.5994,0.661,0.0,0.339
okay im watch happy death day youll see break flicker bedroom floor hours love,0.7096,0.165,0.414,0.422
torn happy death day bad genius,-0.6908,0.623,0.245,0.132
review happy death day ketika mati menjadi seru,-0.0516,0.287,0.272,0.441
new today book,0.0,0.0,0.0,1.0
sa happy death day,-0.0516,0.406,0.385,0.208
sa happy death day kasi toooo hahahaha,-0.0516,0.31,0.294,0.397
penasaran ama happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
happy death day cinemas petaling,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
dan sangat ulasan untuk,0.0,0.0,0.0,1.0
liked video happy death day movie review maniacal cinephile,0.3182,0.311,0.389,0.299
uk,0.0,0.0,0.0,1.0
happy death day win,0.5574,0.315,0.605,0.081
happy death day greget njay,-0.0516,0.368,0.349,0.283
happy death day ous screen cinemas kuala wp kuala,0.2023,0.25,0.365,0.385
happy death day teaches frnds enemy shld say fake,-0.7783,0.547,0.193,0.26
lol waiting happy death day movie trailer,0.3818,0.271,0.451,0.278
still watched happy death day geostorm,-0.0516,0.336,0.319,0.345
di semarang ada smp nonton happy death day pantes film yang dapat rating masih tetap,-0.0516,0.189,0.18,0.631
happy death day foreigner tapos bad genius ang gaganda ng mga showing ngayooooon,-0.5719,0.351,0.175,0.474
excited happy death day thor time,0.296,0.3,0.469,0.231
went c happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
gsto ko mg watch bad genius happy death day,-0.5719,0.433,0.216,0.351
corn happy death day scary pumpkin patch bitch,-0.802,0.586,0.199,0.215
happy death day yung bago mukhang maganda libre,-0.0516,0.287,0.272,0.441
yall watch happy death day,-0.0516,0.368,0.349,0.283
thor justice happy death day ke,0.4939,0.279,0.507,0.214
finally showing,0.0,0.0,0.0,1.0
happy death day groundhog day,-0.0516,0.368,0.349,0.283
playing level happy death day seorang mahasiswa,0.1531,0.291,0.41,0.299
guato ko talagang manood ng happy death day huhuhu,-0.0516,0.267,0.253,0.479
maganda naman happy death day ah,-0.0516,0.336,0.319,0.345
geostorm happy death day reckon need fill first,-0.0516,0.287,0.272,0.441
happy death day great,0.5994,0.307,0.614,0.079
im seeing happy death day tonight conflicted,-0.0516,0.31,0.294,0.397
wanna watch happy death day,-0.0516,0.368,0.349,0.283
going watch happy death day today hope b great,0.7783,0.21,0.575,0.215
movie happy,0.5719,0.0,0.787,0.213
happy death day yuk,-0.0516,0.406,0.385,0.208
saw happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
new today got,0.0,0.0,0.0,1.0
happy death day good movie,0.4019,0.312,0.528,0.16
happy death day surprisingly enjoyable,0.5994,0.285,0.642,0.073
happy death day murmelina perusidea liki,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
wanna see boo happy death day,-0.0516,0.336,0.319,0.345
mau nonton happy death day tapi takut ntar malah ga jelas,-0.0516,0.235,0.223,0.542
seeing happy death day later,-0.0516,0.368,0.349,0.283
happy death day aujiiii,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
last runthrough talk today old pool tournament happy death day tomorrow,-0.0516,0.235,0.223,0.542
lol christian hella laughing girl way happy death day,0.7264,0.206,0.529,0.265
happy death day scary movies watch scared fantastic,-0.4019,0.493,0.36,0.148
happy death day en inte rysarvariant av hela veckan,-0.0516,0.267,0.253,0.479
watched happy death day wait see next,-0.0516,0.31,0.294,0.397
happy death day v,-0.0516,0.453,0.43,0.116
happy death day greatest murder romcom demand sequels extended universe,-0.296,0.439,0.343,0.217
happy death day murmelina perusidea liki,-0.0516,0.336,0.319,0.345
happy death day good movie,0.4019,0.312,0.528,0.16
watching happy death day dedy,-0.0516,0.368,0.349,0.283
box happy death day takes blade runner,-0.0516,0.31,0.294,0.397
someone watch happy death day bad genius ples,-0.5719,0.46,0.23,0.311
tune tonight join review talk trailer,0.296,0.0,0.306,0.694
movie date happiness,0.5574,0.0,0.643,0.357
looking reviews,0.0,0.0,0.0,1.0
someone watch happy death day please,0.2732,0.302,0.465,0.233
currently watching happy death day longgadog family,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
happy death day confusing,-0.2732,0.552,0.352,0.095
happy death day mcm,-0.0516,0.406,0.385,0.208
still wanted see snowman movie heard bad still want see happy death day,-0.5267,0.346,0.234,0.421
happy death day kind boring already know plot twist,0.2263,0.339,0.388,0.273
happy death day date org paling ayu skrg,-0.0516,0.287,0.272,0.441
happy death day trashy,-0.0516,0.406,0.385,0.208
happy death day trashy,-0.0516,0.406,0.385,0.208
watch happy death day,-0.0516,0.406,0.385,0.208
showing na happy death day taraaaa,-0.0516,0.336,0.319,0.345
cried real tears watching happy death day,-0.5719,0.556,0.245,0.199
scary thing hollywood runs reboots happy death day movie,-0.5267,0.423,0.22,0.357
want watch happy death day already know plot gonna like,0.3818,0.224,0.431,0.345
clever way happy death day decided reference groundhog spoiler following article,0.4215,0.21,0.36,0.43
surprisingly big plot recommend,0.5719,0.0,0.701,0.299
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
happy death day manan aw,-0.0516,0.368,0.349,0.283
went see happy death day course dug cause,-0.0516,0.287,0.272,0.441
happy death day worst movie ever seen currently theater tweeting,-0.6486,0.428,0.198,0.374
watched figured killer minutes movie watch horror movies damn much,-0.8934,0.605,0.0,0.395
happy death day showing convenient time monday local,-0.0516,0.287,0.272,0.441
happy death day annoying yeah entertaining fkn annoying omg waste time money,-0.5106,0.467,0.34,0.193
michael happy death day give gay italian romance,0.5267,0.241,0.451,0.309
man happy death day clarify talking carter would hate,-0.5994,0.439,0.214,0.347
happy death day annoying ass movie recommend watch,-0.5994,0.523,0.321,0.155
still need see happy death day,-0.0516,0.336,0.319,0.345
lets pray happy death day ni best kalau tak rugi duit,0.743,0.185,0.483,0.332
blast watching happy death day doubts first fucking fun fun fun,0.8548,0.238,0.566,0.195
happy death day good roasted crocs,0.4019,0.289,0.489,0.222
nood us happy death day money,-0.0516,0.336,0.319,0.345
tak sabar nak tengok happy death day nih,-0.0516,0.287,0.272,0.441
saw funny nice twist spoiler want people know song,0.7184,0.0,0.538,0.462
happy death day bagus ga,-0.0516,0.368,0.349,0.283
also happy death day pretty good,0.7096,0.248,0.624,0.127
nah happy death day jokes,0.1027,0.442,0.475,0.083
happy death day trashy,-0.0516,0.406,0.385,0.208
nak tengok happy death day mcm best je trailer,0.6124,0.219,0.444,0.337
happy death day ni dah mcm edge tomorrow pulak aku tengok,-0.0516,0.235,0.223,0.542
happy death day na ba itu,-0.0516,0.336,0.319,0.345
ohhhhh happy death day,-0.0516,0.406,0.385,0.208
happy death day bad,-0.5719,0.612,0.306,0.083
akhirnya happy death day,-0.0516,0.406,0.385,0.208
great think song made better though,0.7906,0.0,0.636,0.364
every time white bitch got killed happy death day,-0.8591,0.584,0.177,0.239
could watch happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
watch trailer fill,0.0,0.0,0.0,1.0
happy death day trash,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
mcm best ja happy death day ni,0.6124,0.247,0.5,0.253
happy death day,-0.0516,0.453,0.43,0.116
di ko alam kung san ako nakahugot ng lakas ng loob manood ng happy death day magisa,-0.0516,0.173,0.164,0.664
happy death day,-0.0516,0.453,0.43,0.116
daily routine,0.0,0.0,0.0,1.0
cheers mom fantastic taste liquor,0.7717,0.0,0.691,0.309
happy death day really good besides one little thing,0.4576,0.232,0.41,0.357
man happy death day run like christian,0.3182,0.277,0.44,0.284
fetish horror movies starching franchise movies box hell happy death day,-0.8591,0.533,0.162,0.306
happy death day honesty really go check,0.4588,0.264,0.466,0.27
happy death day review rate pls ppl pronto tell,0.0258,0.262,0.336,0.403
happy death day confusing,-0.2732,0.552,0.352,0.095
signal return slasher check latest review find,0.0,0.0,0.0,1.0
happy death day latur,-0.0516,0.406,0.385,0.208
happy death day recommend,0.3182,0.351,0.559,0.09
said gonna watch happy death day today noooo lazy,-0.4019,0.398,0.23,0.373
happy death day cheesy liked,0.3818,0.315,0.524,0.161
watching happy death day leanora widya central,-0.0516,0.31,0.294,0.397
anyone seen time another type let us,0.0,0.0,0.0,1.0
happy death day amazing,0.5574,0.315,0.605,0.081
happy death day cdo downtown premier cinema cagayan de misamis oriental,-0.0516,0.235,0.223,0.542
moral story happy death day bij,-0.0516,0.336,0.319,0.345
happy death day lit af kid,-0.0516,0.336,0.319,0.345
box office glory piece cake death,-0.1027,0.342,0.307,0.351
wanna go see happy death day,-0.0516,0.336,0.319,0.345
happy death day good ass movie tbh would recommend,0.1779,0.361,0.444,0.195
went movies earlier saw pretty,0.4939,0.0,0.444,0.556
happy death day laa please,0.2732,0.328,0.504,0.168
better movie watch,0.4404,0.0,0.592,0.408
cast member shoots death scene think say happy death day,-0.6249,0.422,0.2,0.378
wanna watch happy death day,-0.0516,0.368,0.349,0.283
needing explanation ending happy death day like needing groundhog day,0.3182,0.228,0.363,0.409
happy death day ending pretty damn straight forward fuck asking,-0.3182,0.441,0.384,0.175
less seen happy death day,-0.0553,0.362,0.34,0.298
happy death day pretty shabby,0.4588,0.305,0.539,0.156
happy death day really good one best horror movies watched far,0.5799,0.305,0.455,0.24
happy death day really good,0.4576,0.305,0.539,0.156
watch flatliners awesome bae like happy death day,0.7506,0.214,0.566,0.22
except see happy death day recommend pretty,0.6705,0.239,0.577,0.184
happy death day muna,-0.0516,0.406,0.385,0.208
mcm best je cite happy death day ni,0.6124,0.232,0.47,0.298
happy death day movie trip laturrrrr,-0.0516,0.336,0.319,0.345
high fucc movie theatre alone watch happy death day lulz c wut hype kid,0.2023,0.273,0.31,0.417
happy death day looks good,0.4019,0.312,0.528,0.16
want watch happy death day boh friends hahahaaha loner,0.2263,0.339,0.443,0.219
torn bad genius happy death day,-0.6908,0.623,0.245,0.132
wanna watch happy death day badly,-0.5106,0.511,0.27,0.219
happy death day relives day getting murdered every feel like real curse would watching movie,-0.765,0.421,0.221,0.357
still wanna see happy death day,-0.0516,0.336,0.319,0.345
sumpah balik sana nak tengok flatliners happy death day escape room ah semua ah,0.128,0.192,0.266,0.542
read good review happy death day think plus blum house killing,-0.4019,0.379,0.301,0.32
wow happy death day good,0.7579,0.255,0.68,0.065
seen happy death day really really liked,0.489,0.26,0.472,0.267
boleh tahan laa happy death day,-0.0516,0.336,0.319,0.345
happy death day kak,-0.0516,0.406,0.385,0.208
gusto ko panoorin happy death day kaya bad genius,-0.5719,0.433,0.216,0.351
felt like detective figuring killer protagonist happy death day lol,-0.0516,0.369,0.405,0.225
watching happy death day edwards irvine spectrum imax rpx,-0.0516,0.267,0.253,0.479
need someone watch happy death day,-0.0516,0.336,0.319,0.345
watching happy death day bc u,-0.0516,0.368,0.349,0.283
thought gay cowboy campus story plot let tell happy death day,-0.0516,0.235,0.223,0.542
happy death day extra af,-0.0516,0.368,0.349,0.283
actually really good movie,0.4927,0.0,0.516,0.484
happy death day,-0.0516,0.453,0.43,0.116
happy death day bommmm plot twist,-0.0516,0.336,0.319,0.345
going go see happy death day excited,0.296,0.279,0.436,0.286
watched totally called,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
want go watch happy death day,0.0258,0.328,0.42,0.252
noah fence girl happy death day said war flashbacks,-0.6249,0.446,0.211,0.343
happy death day,-0.0516,0.453,0.43,0.116
saw happy death day better thought would,0.4019,0.269,0.455,0.276
happy death day sukses menduduki puncak box office lalu apa yg membuat happy death day langsung yuuk tonton filmnya sekarang,-0.1027,0.25,0.237,0.513
happy death day tripy lol,0.3818,0.315,0.524,0.161
happy death day overrated yall,-0.0516,0.368,0.349,0.283
happy death day actually funny movie,0.4019,0.289,0.489,0.222
chirp take heat latest powered,0.0,0.0,0.0,1.0
selfi menonton happy death day di level xxi,-0.0516,0.287,0.272,0.441
watched happy death day lotta less scary funny thought,-0.1243,0.375,0.349,0.276
sedang tayang di lihat jadwal dan beli tiket kamu di,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
cried horror worthy tribute groundhog montages,-0.5267,0.516,0.238,0.246
scary thing hollywood runs reboots happy death day movie,-0.5267,0.423,0.22,0.357
rip scores happy death day,-0.0516,0.368,0.349,0.283
happy death day bei amc gulf pointe,-0.0516,0.31,0.294,0.397
highly recommend go see happy death day already,0.3804,0.253,0.422,0.325
alright give happy death day solid horror great dark comedy,0.6486,0.31,0.567,0.122
happy death day hella funny,0.4576,0.305,0.539,0.156
excited see happy death day tomorrow hear shall,0.296,0.26,0.407,0.333
happy death day good movie,0.4019,0.312,0.528,0.16
happy death day cute,0.4215,0.336,0.578,0.086
happy death day pastu bgtau review okay,0.1779,0.289,0.415,0.296
eyyy asyik nampak org g tgk happy death day jeeee bila nak g tgk ni,-0.0516,0.21,0.199,0.591
happy death day,-0.0516,0.453,0.43,0.116
happy death day best movie ever made king cake baby getting taste murder,-0.1779,0.337,0.31,0.353
gonna watch happy death day,-0.0516,0.368,0.349,0.283
finished watching definitely,0.4019,0.0,0.574,0.426
happy death day pretty,0.4588,0.331,0.585,0.085
really liked happy death day lol,0.6915,0.26,0.616,0.125
show worst secret review,-0.6249,0.577,0.0,0.423
going see happy death day tomorrow excited,0.296,0.279,0.436,0.286
watching happy death day xxi level mall,-0.0516,0.31,0.294,0.397
citer happy death day macam,-0.0516,0.368,0.349,0.283
secret terburuk live pm cc,0.0,0.0,0.0,1.0
watching cousin la visiting thank lazy,0.0,0.278,0.278,0.444
tomorrow gonna eat pizza fried drink watch astros see happy death day,-0.0516,0.222,0.21,0.568
oooo forgot happy death day came,-0.0516,0.336,0.319,0.345
happy death day sucked dick,-0.7579,0.685,0.248,0.067
ha gustado un de la misma vida una otra happy death day,0.296,0.205,0.321,0.474
review happy death day,-0.0516,0.406,0.385,0.208
took little cousin watch happy death day dissapointed,-0.1189,0.292,0.258,0.45
recommend happy death day,0.3182,0.351,0.559,0.09
wanna watch bad genius happy death day,-0.5719,0.49,0.245,0.265
ok movie ok mean know would died times lol,0.3818,0.228,0.456,0.316
happy death day lowkey funny,0.4019,0.312,0.528,0.16
show worst secret keeper review pm,-0.6249,0.451,0.0,0.549
happy death day good,0.4019,0.339,0.574,0.087
watched thanks mascot serial killers right,-0.34,0.384,0.259,0.357
happy death day sucked,-0.4939,0.595,0.319,0.086
still watched happy death day,-0.0516,0.368,0.349,0.283
happy death day p good,0.4019,0.339,0.574,0.087
playing week halloween happy death day,0.1531,0.315,0.444,0.242
glad finally got watch needed good movie escape last,0.765,0.0,0.559,0.441
alguien ya vio happy death day jajajajajaja solo falto bill murray la marmota,-0.0516,0.21,0.199,0.591
happy death day pretty damn,0.0772,0.455,0.476,0.069
happy death day entertaining spoilers go see,0.4019,0.269,0.455,0.276
need go watch happy death day movie,-0.0516,0.31,0.294,0.397
happy death day better u would think scary,-0.128,0.425,0.395,0.18
happy death day hella,-0.0516,0.406,0.385,0.208
anyone happy death day,-0.0516,0.406,0.385,0.208
